date,symbol,rsi,atr,volume_spike,signal
2020-05-08,AAPL,18.5358,1.72965,0,HOLD
2020-05-11,AAPL,14.5941,1.74132,0,HOLD
2020-05-12,AAPL,7.63141,1.72059,0,HOLD
2020-05-13,AAPL,17.2247,1.77416,0,HOLD
2020-05-14,AAPL,27.6593,1.87589,0,HOLD
2020-05-15,AAPL,34.5189,1.93553,0,HOLD
2020-05-27,MSFT,51.7674,4.05878,0,HOLD
2020-05-28,MSFT,53.9085,4.25157,0,HOLD
2020-05-29,MSFT,52.2538,4.34545,0,HOLD
2020-06-01,MSFT,50.1374,4.48287,0,HOLD
2020-06-02,MSFT,52.9056,4.35623,0,HOLD
2020-06-03,MSFT,45.5618,4.2828,0,HOLD
2020-06-04,MSFT,36.4727,3.93302,0,HOLD
2020-06-05,MSFT,42.479,3.83372,0,HOLD
2020-06-08,MSFT,48.5059,3.53966,0,HOLD
2020-06-09,MSFT,43.0222,3.66761,0,HOLD
2020-06-10,MSFT,38.6332,3.72003,0,HOLD
2020-06-11,MSFT,36.7683,4.10192,0,HOLD
2020-06-12,MSFT,37.5805,4.52541,0,HOLD
2020-05-18,AAPL,29.9356,2.07127,0,HOLD
2020-05-19,AAPL,28.8442,2.04654,0,HOLD
2020-05-20,AAPL,30.3165,2.03713,0,HOLD
2020-05-21,AAPL,25.652,1.94614,0,HOLD
2020-05-22,AAPL,29.9029,1.80779,0,HOLD
2020-05-26,AAPL,29.1098,1.798,0,HOLD
2020-06-15,MSFT,52.716,4.75317,0,HOLD
2020-06-16,MSFT,31.646,4.92911,0,HOLD
2020-06-17,MSFT,30.2461,4.8425,0,HOLD
2020-06-18,MSFT,33.9961,4.76476,0,HOLD
2020-06-19,MSFT,29.74,4.81454,0,HOLD
2020-06-22,MSFT,35.8231,4.9598,0,HOLD
2020-06-23,MSFT,31.4022,5.1787,0,HOLD
2020-06-24,MSFT,31.3578,5.18961,0,HOLD
2020-06-25,MSFT,34.3569,5.40442,0,HOLD
2020-06-26,MSFT,35.3702,5.36487,0,HOLD
2020-06-29,MSFT,42.0645,5.42625,0,HOLD
2020-06-30,MSFT,42.9673,5.50194,0,HOLD
2020-07-01,MSFT,40.2342,5.44398,0,HOLD
2020-05-20,GOOG,37.5164,1.72566,0,HOLD
2020-05-21,GOOG,35.4895,1.70028,0,HOLD
2020-05-22,GOOG,33.3031,1.62301,0,HOLD
2020-05-26,GOOG,31.9907,1.64612,0,HOLD
2020-05-27,GOOG,39.7897,1.61914,0,HOLD
2020-05-28,GOOG,44.6361,1.64261,0,HOLD
2020-05-29,GOOG,44.1929,1.7028,0,HOLD
2020-06-01,GOOG,43.0295,1.68841,0,HOLD
2020-06-02,GOOG,45.6776,1.61957,0,HOLD
2020-06-03,GOOG,37.6865,1.55063,0,HOLD
2020-06-04,GOOG,27.7753,1.40775,0,HOLD
2020-07-02,MSFT,35.2148,5.0955,0,HOLD
2020-07-06,MSFT,24.9432,4.86978,0,HOLD
2020-07-07,MSFT,28.9449,4.47153,0,HOLD
2020-05-27,AAPL,38.5401,1.8253,0,HOLD
2020-05-28,AAPL,39.7116,1.84713,0,HOLD
2020-06-05,GOOG,35.4333,1.4103,0,HOLD
2020-06-08,GOOG,35.8601,1.42295,0,HOLD
2020-06-09,GOOG,36.2368,1.37891,0,HOLD
2020-07-08,MSFT,31.1718,4.6461,0,HOLD
2020-07-09,MSFT,25.2823,4.98776,0,HOLD
2020-07-10,MSFT,32.6403,5.00958,0,HOLD
2020-07-13,MSFT,27.4002,4.90593,0,HOLD
2020-07-14,MSFT,45.3456,5.09755,0,HOLD
2020-07-15,MSFT,41.4113,5.43921,0,HOLD
2020-06-10,GOOG,34.3574,1.40115,0,HOLD
2020-06-11,GOOG,42.2434,1.43167,0,HOLD
2020-06-12,GOOG,42.9365,1.53956,0,HOLD
2020-06-15,GOOG,60.462,1.55919,0,SELL
2020-06-16,GOOG,44.5476,1.65997,0,HOLD
2020-06-17,GOOG,39.4345,1.65526,0,HOLD
2020-06-18,GOOG,42.676,1.59776,0,HOLD
2020-05-29,AAPL,40.1477,1.90467,0,HOLD
2020-06-01,AAPL,42.9159,1.88079,0,HOLD
2020-06-02,AAPL,47.6213,1.78647,0,HOLD
2020-06-03,AAPL,39.5068,1.73369,0,HOLD
2020-06-04,AAPL,30.9723,1.58071,0,HOLD
2020-06-05,AAPL,26.5881,1.5011,0,HOLD
2020-06-19,GOOG,44.275,1.61612,1,HOLD
2020-06-22,GOOG,50.3422,1.63913,0,HOLD
2020-06-23,GOOG,46.467,1.68043,0,HOLD
2020-06-24,GOOG,43.6085,1.72979,0,HOLD
2020-06-25,GOOG,46.7546,1.77035,0,HOLD
2020-06-26,GOOG,48.1904,1.7131,1,HOLD
2020-06-29,GOOG,64.5173,1.91094,0,HOLD
2020-06-30,GOOG,60.8531,1.9953,0,HOLD
2020-07-01,GOOG,54.8736,2.00562,0,HOLD
2020-07-02,GOOG,47.3167,1.95119,0,HOLD
2020-07-06,GOOG,36.8434,1.89997,0,HOLD
2020-07-07,GOOG,42.4035,1.81642,0,HOLD
2020-07-08,GOOG,42.0638,1.83106,0,HOLD
2020-07-09,GOOG,40.677,1.80341,0,HOLD
2020-07-10,GOOG,39.7235,1.83969,0,HOLD
2020-06-08,AAPL,30.2317,1.42426,0,HOLD
2020-06-09,AAPL,30.2106,1.42599,0,HOLD
2020-07-13,GOOG,31.7353,1.93543,0,BUY
2020-06-10,AAPL,22.7765,1.60563,0,HOLD
2020-07-16,MSFT,41.863,5.41261,0,HOLD
2020-07-17,MSFT,44.8141,5.29327,0,HOLD
2020-07-14,GOOG,45.2414,2.12824,0,HOLD
2020-07-15,GOOG,42.125,2.1599,0,HOLD
2020-07-20,MSFT,39.0964,5.20053,0,HOLD
2020-07-21,MSFT,33.8452,5.58719,0,HOLD
2020-07-16,GOOG,40.8429,2.13033,0,HOLD
2020-07-17,GOOG,38.8022,2.17433,0,HOLD
2020-07-22,MSFT,43.6928,5.53604,0,HOLD
2020-07-23,MSFT,48.4108,5.57218,0,HOLD
2020-07-20,GOOG,26.6279,1.97425,0,HOLD
2020-07-21,GOOG,23.829,2.09762,0,HOLD
2020-07-24,MSFT,58.2241,6.02704,0,HOLD
2020-07-27,MSFT,58.8805,6.18457,0,HOLD
2020-07-22,GOOG,30.4112,2.0906,0,HOLD
2020-07-23,GOOG,32.9489,2.04373,0,HOLD
2020-07-28,MSFT,56.1735,5.94112,0,HOLD
2020-07-29,MSFT,64.6597,5.62197,0,SELL
2020-07-24,GOOG,47.5613,2.1728,0,HOLD
2020-06-11,AAPL,23.0052,1.70392,0,HOLD
2020-06-12,AAPL,25.2437,1.88494,0,HOLD
2020-07-27,GOOG,46.7481,2.15687,0,HOLD
2020-07-28,GOOG,46.1317,2.13032,0,HOLD
2020-06-15,AAPL,42.1636,1.99569,0,HOLD
2020-06-16,AAPL,25.8281,2.18225,0,HOLD
2020-07-29,GOOG,50.016,2.15868,0,HOLD
2020-07-30,GOOG,51.1034,2.15732,0,HOLD
2020-06-17,AAPL,24.7898,2.26549,0,HOLD
2020-06-18,AAPL,29.2194,2.20492,0,HOLD
2020-07-31,GOOG,55.9386,2.12964,1,HOLD
2020-08-03,GOOG,50.5437,2.01655,0,HOLD
2020-06-19,AAPL,26.6843,2.21773,1,HOLD
2020-06-22,AAPL,30.7392,2.32623,0,HOLD
2020-06-23,AAPL,27.6883,2.44945,0,HOLD
2020-06-24,AAPL,27.1572,2.55692,0,HOLD
2020-08-04,GOOG,57.3971,1.96409,0,HOLD
2020-08-05,GOOG,55.1362,1.92715,0,HOLD
2020-06-25,AAPL,29.7341,2.65089,0,HOLD
2020-06-26,AAPL,30.8003,2.63203,0,HOLD
2020-08-06,GOOG,58.9152,1.86915,0,HOLD
2020-08-07,GOOG,52.53,1.90946,0,HOLD
2020-06-29,AAPL,39.2548,2.73621,0,HOLD
2020-06-30,AAPL,43.1803,2.64968,0,HOLD
2020-08-10,GOOG,70.5649,1.73865,0,SELL
2020-07-01,AAPL,41.4936,2.60295,0,HOLD
2020-07-30,MSFT,63.7293,5.53604,0,HOLD
